text,label,lang,volumeValue,volumeDelta,favoriteNumber,favoriteName
nej det er forkert,cancel,da,,,,
kunne du fortælle mig mine favoritter,listFavorites,da,,,,
med det samme genoptag musikken,resume,da,,,,
right now turn it down by thirty,volumeDown,en,,30,,
never mind that right now,cancel,en,,,,
lydstyrken på femten,setVolume,da,15,,,
i would like you to put on P4,playNamed,en,,,,P4
i would like you to hold the music,pause,en,,,,
hurtigt drop det,cancel,da,,,,
can you please resume,resume,en,,,,
would you mind to set volume to 20,setVolume,en,20,,,
kunne du afslutte musikken,stop,da,,,,
kan du venligst spille Jazz FM,playNamed,da,,,,
forbind med kontoret,joinSpeaker,da,,,,
må jeg bede dig om at liste mine favoritter,listFavorites,da,,,,
kunne du mute,mute,da,,,,
bare stil et quizspørgsmål,unknown,da,,,,
jeg vil bede dig om at sætte lydstyrken til 90,setVolume,da,90,,,
okay yes right away,confirm,en,,,,
i would like you to play workout mix,playNamed,en,,,,workout mix
pause right away,pause,en,,,,
right away play my usual,playDefault,en,,,,
would you please ungroup,leaveSpeaker,en,,,,
no more music,stop,en,,,,
could you join the office,joinSpeaker,en,,,,
hurtigt ok,confirm,da,,,,
sæt favorit 5 på,playFavoriteByNumber,da,,,5,
lige giv mig en gåde,unknown,da,,,,
now turn it down by 15,volumeDown,en,,15,,
bare afslut pausen,resume,da,,,,
lavere med tyve,volumeDown,da,,20,,
lower the volume,volumeDown,en,,,,
unpair right away,leaveSpeaker,en,,,,
i want you to start playing,playDefault,en,,,,
could you kindly put on Volbeat,playNamed,en,,,,Volbeat
jeg vil bede dig om at sætte lydstyrken til fem,setVolume,da,5,,,
turn it down by 10,volumeDown,en,,10,,
quickly good night,unknown,en,,,,
ingen lyd tak,mute,da,,,,
hurtigt tilbage til normal lyd,unmute,da,,,,
stop syncing,leaveSpeaker,en,,,,
incorrect now,cancel,en,,,,
fortryd venligst,cancel,da,,,,
could you kindly play number five,playFavoriteByNumber,en,,,5,
vil du forbinde med badeværelset,joinSpeaker,da,,,,
jeg vil bede dig om at indstille lydstyrken til 20,setVolume,da,20,,,
now leave the group,leaveSpeaker,en,,,,
forbind med køkkenet,joinSpeaker,da,,,,
jeg vil bede dig om at tænde lyden igen,unmute,da,,,,
right now go ahead and stop the music,stop,en,,,,
faktisk glem det,cancel,da,,,,
med det samme skru ned med 20,volumeDown,da,,20,,
tag tråden op igen,resume,da,,,,
vil du venligst gruppere med soveværelset,joinSpeaker,da,,,,
could you please play Genstart,playNamed,en,,,,Genstart
i'd like you to play favorite 5,playFavoriteByNumber,en,,,5,
that's correct right away,confirm,en,,,,
quickly go ahead and carry on,resume,en,,,,
vil du venligst forbinde med kælderen,joinSpeaker,da,,,,
make it louder,volumeUp,en,,,,
right now remove mute,unmute,en,,,,
list favourites now,listFavorites,en,,,,
venligst tilbage til at have lyd,unmute,da,,,,
quickly bring sound back,unmute,en,,,,
nej tak nu,cancel,da,,,,
can you please play music,playDefault,en,,,,
play my favorite 4,playFavoriteByNumber,en,,,4,
nu lad være,cancel,da,,,,
sæt Taylor Swift,playNamed,da,,,,Taylor Swift
please play number 8,playFavoriteByNumber,en,,,8,
hurtigt spil alene,leaveSpeaker,da,,,,
kindly turn off the music,stop,en,,,,
afbryd handlingen,cancel,da,,,,
how old are you now,unknown,en,,,,
raise the volume,volumeUp,en,,,,
må jeg bede dig om at forbinde med terrassen,joinSpeaker,da,,,,
put on a song now,playDefault,en,,,,
skru op 20,volumeUp,da,,20,,
jeg vil pause hurtigt,pause,da,,,,
just silence the audio,mute,en,,,,
please play number six,playFavoriteByNumber,en,,,6,
volume level 85,setVolume,en,85,,,
right away unsync,leaveSpeaker,en,,,,
kunne du venligst sætte electronic på,playNamed,da,,,,
tænd for højttaleren,unmute,da,,,,
nu værsgod,confirm,da,,,,
what favorites do i have real quick,listFavorites,en,,,,
stop musikken,stop,da,,,,
now volume down 30,volumeDown,en,,30,,
sluk for det hurtigt,stop,da,,,,
nu dæmp lyden,mute,da,,,,
frakobl højttaleren nu,leaveSpeaker,da,,,,
i'd like you to join the hallway,joinSpeaker,en,,,,
jeg vil gerne have at du afspille P4,playNamed,da,,,,
when is sunset real quick,unknown,en,,,,
kan du genoptage,resume,da,,,,
bare hæv lydstyrken med tyve,volumeUp,da,,20,,
play a game now,unknown,en,,,,
real quick fire up some music,playDefault,en,,,,
right away okay yes,confirm,en,,,,
could you kindly play NPR,playNamed,en,,,,NPR
fjern lydløs,unmute,da,,,,
mind mig om at købe mælk nu,unknown,da,,,,
link to the living room,joinSpeaker,en,,,,
ville du venligst indstille lydstyrken til 35,setVolume,da,35,,,
i would like you to stop the music,stop,en,,,,
lige spil videre tak,resume,da,,,,
i want it back on,resume,en,,,,
go ahead and join the basement,joinSpeaker,en,,,,
can you please put on MØ,playNamed,en,,,,MØ
