text,label,lang,volumeValue,volumeDelta,favoriteNumber,favoriteName
now volume down 5,volumeDown,en,,5,,
i need you to show me my favorites,listFavorites,en,,,,
jo,confirm,da,,,,
volume level 45,setVolume,en,45,,,
now i want you to pause,pause,en,,,,
afbryd forbindelsen til gruppen hurtigt,leaveSpeaker,da,,,,
vær så venlig at spille musik med det samme,playDefault,da,,,,
right away continue the music,resume,en,,,,
start favorite nine,playFavoriteByNumber,en,,,9,
sænk lydstyrken med 15,volumeDown,da,,15,,
now begin the music,playDefault,en,,,,
right now go ahead and stop the music,stop,en,,,,
jeg vil have ro,stop,da,,,,
can you please play number 10,playFavoriteByNumber,en,,,10,
vær venlig at afslutte musikken,stop,da,,,,
would you mind to play music,playDefault,en,,,,
venligst sluk for al lyd,mute,da,,,,
ville du ændre lydstyrken til 40,setVolume,da,40,,,
nu gør det ikke,cancel,da,,,,
kunne du venligst spille favorit 2,playFavoriteByNumber,da,,,2,
ikke gør det,cancel,da,,,,
abort the action,cancel,en,,,,
hurtigt vær så venlig at fjerne lydløs,unmute,da,,,,
grupper med soveværelset,joinSpeaker,da,,,,
nu har du følelser,unknown,da,,,,
i want you to put on P1,playNamed,en,,,,P1
turn it up by fifteen right now,volumeUp,en,,15,,
now cut the audio,mute,en,,,,
bring back the sound real quick,unmute,en,,,,
kunne du slå lyden fra,mute,da,,,,
vil du pause,pause,da,,,,
stop sangen,stop,da,,,,
i'd like you to put on The Voice,playNamed,en,,,,Voice
i'd like you to play with the patio,joinSpeaker,en,,,,
could you kindly mute,mute,en,,,,
sound off right away,mute,en,,,,
right now kick off some music,playDefault,en,,,,
kan du venligst skrue ned,volumeDown,da,,,,
give me the jazz,playNamed,en,,,,jazz
venligst næ,cancel,da,,,,
med det samme hvilke favoritter er gemt,listFavorites,da,,,,
now i want you to mute,mute,en,,,,
kunne du tilslutte kælderen,joinSpeaker,da,,,,
adskil denne højttaler nu,leaveSpeaker,da,,,,
stop that right away,cancel,en,,,,
nej,cancel,da,,,,
bare sæt nummeret på pause,pause,da,,,,
read out my favorites,listFavorites,en,,,,
syng en sang hurtigt,unknown,da,,,,
would you play favorite five,playFavoriteByNumber,en,,,5,
fjern gruppering,leaveSpeaker,da,,,,
schedule a meeting for tomorrow now,unknown,en,,,,
ville du dæmpe lyden,mute,da,,,,
venligst sænk lydstyrken,volumeDown,da,,,,
synkroniser til spisestuen,joinSpeaker,da,,,,
bare lidt mere stille,volumeDown,da,,,,
can you please read out my favorites,listFavorites,en,,,,
vær så venlig at forlade gruppen nu,leaveSpeaker,da,,,,
vær venlig at ændre lydstyrken til firs,setVolume,da,80,,,
play favourite nine,playFavoriteByNumber,en,,,9,
kill the audio right away,mute,en,,,,
could you kindly play NPR,playNamed,en,,,,NPR
remove this from the group now,leaveSpeaker,en,,,,
jeg har skiftet mening med det samme,cancel,da,,,,
kan du venligst spille The Beatles,playNamed,da,,,,
må jeg bede dig om at spille Kendrick Lamar,playNamed,da,,,,
now play only here,leaveSpeaker,en,,,,
bare hæv lydstyrken med 25,volumeUp,da,,25,,
i need you to group with the hallway,joinSpeaker,en,,,,
spil P5 for mig,playNamed,da,,,,P5 for mig
hurtigt sluk for al lyd,mute,da,,,,
i'd like you to put on P2,playNamed,en,,,,P2
kindly bring back the sound,unmute,en,,,,
jeg vil gerne have at du stoppe musikken,stop,da,,,,
stil et quizspørgsmål med det samme,unknown,da,,,,
hurtigt sænk lydstyrken med 25,volumeDown,da,,25,,
just i want sound,unmute,en,,,,
må jeg bede dig om at sætte hip hop på,playNamed,da,,,,
